ACME Laboratories Ltd.,
ACI Limited,
Al-Madina-Pharmaceuticals-ltd,
aexim-pharmaceuticals-ltd,
Ad-din-pharmaceuticals-ltd,
Alkad-laboratories,
Alien-pharma,
Alco-pharma-ltd,
Albion-laboratories-limited,
Arges-life-science-limited,
Aqvida-bangladesh,
Apollo-pharmaceutical-ltd,
apex-pharmaceuticals-ltd,
apc-pharma-ltd,
amico-laboratories-ltd,
ambee-pharmaceuticals-ltd,
alme-laboratories-ayurvedic,
allied-pharmaceuticals-ltd,
biogen-pharmaceuticals-ltd,
beximco-pharmaceuticals-ltd,
benham-pharmaceuticals-ltd,
bengal-drugs-ltd,
belsen-pharmaceuticals-ltd,
beacon-pharmaceuticals-ltd,
aztec-pharmaceuticals-ltd,
astra-biopharmaceuticals-ltd,
asiatic-laboratories-ltd,
aristopharma-ltd,
monicopharma-ltd,
momotaz-pharmaceuticals-ltd,
modern-pharmaceuticals-ltd,
millat-pharmaceuticals-ltd,
medrx-life-science-ltd,
medimet-pharmaceuticals-ltd,
medicon-pharmaceuticals-ltd,
marksman-pharmaceuticals-ltd,
marker-pharma-ltd,
marie-stopes-bangladesh,
libra-pharmaceuticls-ltd,
lexicon-pharma,
leon-pharmaceuticals-ltd,
legends-pharma,
labaid-pharma-ltd,
kumudini-pharma-ltd,
kemiko-pharmaceuticals-ltd,
kawsar-chemicals,
jenphar-bangladesh-ltd,
jayson-pharmaceuticals-ltd,
janata-traders,
international-agencies-bd-limited,
institute-of-public-health-iph,
indo-bangla-pharmaceutical,
incepta-pharmaceuticals-ltd,
ibn-sina-pharmaceuticals-ltd,
hudson-pharmaceuticals-ltd,
healthcare-pharmaceuticals-ltd,
hallmark-pharmaceuticals-ltd,
guardian-healthcare-ltd,
gsk-bangladesh-limited,
greenland-pharmaceuticals-ltd,
goodman-pharmaceuticals-ltd,
biopharma-laboratories-ltd,
bots-pvt-limited,
bright-healthcare,
bristol-pharmaceuticals-ltd,
bronson-laboratories-bd-ltd,
centeon-pharma-ltd,
central-pharmaceuticals-ltd,
chemist-laboratories-ltd,
city-overseas-ltd,
concord-pharmaceuticals-ltd,
cosmic-pharma-ltd,
cosmo-pharma-laboratories-ltd,
credence-pharmaceuticals-ltd,
dbl-pharmaceuticals-ltd,
decent-pharma-laboratories-ltd,
delta-pharma-ltd,
derma-health-care,
desh-pharmaceuticals-ltd,
doctor-tims-pharmaceuticals-ltd,
dr-rhazes,
drug-international-ltd,
edruc-limited,
emcs-pharma-limited-an-enterprise-of-icddrb-emcs-ltd,
empiric-laboratories-ltd,
eskayef-pharmaceuticals-ltd,
ethical-drugs-limited,
euro-pharma-ltd,
everest-pharmaceuticals-ltd,
fnf-pharmaceuticals-ltd,
gaco-pharmaceuticals-ltd,
general-pharmaceuticals-ltd,
genvio-pharma-ltd,
get-well-limited,
globe-pharmaceuticals-ltd,
globex-pharmaceuticals-ltd,
gonoshasthaya-pharma-ltd,
mundipharma-bd-pvt-ltd,
mst-pharma,
opsonin-herbal-nutraceuticals-ltd,
opso-saline-limited,
one-pharma-ltd,
nuvista-pharma-ltd,
novus-pharmaceuticals-ltd,
novo-nordisk-pharma-pvt-ltd,
novo-healthcare-and-pharma-ltd,
novelta-bestway-pharma-ltd,
novartis-bangladesh-ltd,
nipro-jmi-pharma-ltd,
nipa-pharmaceuticals-ltd,
nemus-pharmaceutical-pvt-ltd,
navana-pharmaceuticals-ltd,
naafco-pharma-ltd,
mystic-pharmaceuticals-ltd,
radius-pharmaceuticals-ltd,
radiant-pharmaceuticals-ltd,
quality-pharmaceuticals-ltd,
purnava-limited,
pristine-pharmaceuticals-ltd,
prime-pharmaceuticals-ltd,
premier-pharmaceuticals-ltd,
popular-pharmaceuticals-ltd,
phoenix-chemical-laboratory,
pharmik-laboratories-ltd,
pharmadesh-laboratories-ltd,
pharmacil-limited,
pfizer,
peoples-pharma-ltd,
pacific-pharmaceuticals-ltd,
oyster-pharmaceuticals-ltd,
orion-pharma-ltd,
organic-health-care-ltd,
orbit-pharmaceuticals-ltd,
opsonin-pharma-ltd,
social-marketing-company,
skylab-pharmaceuticals-ltd,
silva-pharmaceuticals-ltd,
silco-pharmaceutical-ltd,
sharif-pharmaceuticals-ltd,
servier-bangladesh-operation,
seema-pharmaceuticals-ltd,
sandoz-a-novartis-division,
salton-pharmaceuticals-ltd,
sn-pharmaceutical-ltd,
royal-pharmaceutical-ltd,
roche-bangladesh-ltd,
rn-pharmaceuticals,
river-pharma,
rephco-pharmaceuticals-ltd,
renata-limited,
pharmasia-limited,
reman-drug-laboratories-ltd,
ziska-pharmaceuticals-ltd,
zenith-pharmaceuticals-ltd,
zas-corporation,
west-coast-pharmaceutical-works-ltd,
virgo-pharmaceuticals-ltd,
veritas-pharmaceuticals-ltd,
united-pharmaceuticals-ltd,
unimed-unihealth,
ultra-pharma-ltd,
total-natural-company-unani,
the-white-horse-pharmaceuticals-ltd,
techno-drugs-ltd,
team-pharmaceuticals-ltd,
syntho-laboratories-ltd,
synovia-pharma-plc,
supreme-pharmaceutical-ltd,
sunman-birdem-pharma-ltd,
sun-pharmaceutical-ltd,
square-pharmaceuticals-ltd,
sonear-laboratories-ltd,
somatec-pharmaceuticals-ltd,
